Feature,Weight
year,0.40026365675234205
max_power_log,0.3446243094105227
name,0.2084838523274995
seats_cat_6-8,0.08765100429981114
fuel_Diesel,0.0833111512204591
mileage,0.057395746366130346
seats_cat_4-5,0.041757636884909105
seats_cat_9-14,0.028673319402926712
owner_Test Drive Car,0.016555526421843263
fuel_LPG,0.012406233708369348
fuel_Petrol,0.008126748476297905
seller_type_Trustmark Dealer,-0.0033111125751924446
torque_log,-0.016675799536679494
owner_Fourth & Above Owner,-0.01841489581659117
seller_type_Individual,-0.018866816102121927
owner_Third Owner,-0.02179443596732558
owner_Second Owner,-0.03335814449400411
km_driven_log,-0.04049493723609464
transmission_Manual,-0.045038089152915246
power_per_liter_log,-0.04644744458629827
